date,avgBikeDuration,avgBikeDistance,totalBikeTrips
2022-01-17,0 days 00:13:51.186669789,1.5631685112188984,29887
2022-01-18,0 days 00:14:21.676785106,1.6290059141941995,44045
2022-01-19,0 days 00:13:50.477054775,1.7112892666171367,55371
2022-01-20,0 days 00:14:16.750494255,1.5797852007787447,34901
2022-01-21,0 days 00:12:56.487316460,1.4392176526478704,35006
2022-01-22,0 days 00:16:01.838815191,1.5241685155126512,33018
2022-01-23,0 days 00:15:08.701777212,1.614428463463903,33817
2022-01-24,0 days 00:11:53.292996172,1.6164799137858412,42591
2022-01-25,0 days 00:12:23.615116771,1.6864922423924125,51982
2022-01-26,0 days 00:12:10.773793294,1.5656785063857432,43279
2022-01-27,0 days 00:12:11.141484309,1.5737995886386726,45058
2022-01-28,0 days 00:12:46.483351986,1.5554335093866,35740
2022-01-29,0 days 00:30:50.134608814,1.2673149763837912,2927
2022-01-30,0 days 00:25:40.977188274,1.4453409940755135,9688
2022-01-31,0 days 00:16:42.992337332,1.5982296864498013,22838
2022-02-01,0 days 00:16:03.585536625,1.6585346106701362,29993
2022-02-02,0 days 00:15:05.680828774,1.732202214534516,42955
2022-02-03,0 days 00:12:48.390407445,1.5922022206564166,27292
2022-02-04,0 days 00:14:07.370681473,1.4617267983313667,21072
2022-02-05,0 days 00:12:34.013414634,1.3977636285197073,31980
2022-02-06,0 days 00:14:36.690528816,1.4893611426277016,30313
2022-02-07,0 days 00:11:35.213185283,1.5673055799856794,31611
2022-02-08,0 days 00:12:26.898734413,1.6960932375316073,53493
2022-02-09,0 days 00:13:31.879026373,1.7103674604101802,57558
2022-02-10,0 days 00:14:22.273480749,1.7509760651378141,63584
2022-02-11,0 days 00:15:19.424053687,1.7711202508665251,66310
2022-02-12,0 days 00:20:44.750423192,1.8957152340713628,70299
2022-02-13,0 days 00:13:59.240417284,1.5371096697082136,20897
2022-02-14,0 days 00:12:31.000195902,1.4623393818782104,35732
2022-02-15,0 days 00:11:58.835503099,1.5716763313924533,41940
2022-02-16,0 days 00:12:50.494788640,1.7280962767578691,55072
2022-02-17,0 days 00:15:41.499472718,1.8448008379799188,69223
2022-02-18,0 days 00:14:19.648976387,1.6406651467093134,48407
2022-02-19,0 days 00:15:30.265598802,1.596802965476284,33400
2022-02-20,0 days 00:15:37.417722707,1.6386351571267561,31959
2022-02-21,0 days 00:16:46.243562371,1.7844127212199152,53863
2022-02-22,0 days 00:14:52.316565203,1.6780531774207201,37452
2022-02-23,0 days 00:15:43.524972497,1.8334366956459083,68175
2022-02-24,0 days 00:13:24.998630464,1.6202859781443928,46001
2022-02-25,0 days 00:13:59.039330143,1.5586691383964864,31350
2022-02-26,0 days 00:15:05.852709912,1.6710264188363222,42732
2022-02-27,0 days 00:16:38.621994061,1.749552888501381,44121
