date,avgTaxiDuration,avgTaxiDistance,totalTaxiTrips
2021-12-30,0 days 00:16:13.342024933,10.47776940030782,77968
2021-12-31,0 days 00:14:52.915698417,12.310428960975539,70402
2022-01-01,0 days 00:15:34.814599391,5.936210494790435,63441
2022-01-02,0 days 00:16:06.722856507,6.210313243525445,58421
2022-01-03,0 days 00:13:55.297741868,7.703309716179822,72405
2022-01-04,0 days 00:13:46.590193396,3.47255867600118,74562
2022-01-05,0 days 00:13:25.922873766,5.916513835263835,74592
2022-01-06,0 days 00:13:28.424032336,5.045711371685292,79909
2022-01-07,0 days 00:12:46.690291940,3.0268777762257297,71590
2022-01-08,0 days 00:13:23.787982254,3.147445688110896,83177
2022-01-09,0 days 00:13:16.242150154,5.857759865029525,64014
2022-01-10,0 days 00:13:18.217160614,4.768644357596482,73692
2022-01-11,0 days 00:13:16.244578173,8.127845572980426,77603
2022-01-12,0 days 00:13:33.581802568,2.8655117483074473,80352
2022-01-13,0 days 00:14:20.371209624,2.9484827902815707,84952
2022-01-14,0 days 00:14:36.372032787,7.083990321583508,93817
2022-01-15,0 days 00:13:39.496685606,8.832386250901877,88704
2022-01-16,0 days 00:13:41.203151834,4.538838602420895,72783
2022-01-17,0 days 00:13:02.477644132,4.987802355237885,63518
2022-01-18,0 days 00:14:31.518480432,4.9449544342399205,84603
2022-01-19,0 days 00:14:32.598118651,3.6305208910433975,86640
2022-01-20,0 days 00:13:45.997829870,8.541396814206085,90778
2022-01-21,0 days 00:14:35.766065667,4.211171947671542,101054
2022-01-22,0 days 00:13:53.050607224,3.2321594003333782,96587
2022-01-23,0 days 00:13:57.762474972,3.423393270405908,76914
2022-01-24,0 days 00:13:45.535210908,3.347066627621243,78541
2022-01-25,0 days 00:14:05.749075547,2.7944547733803478,87349
2022-01-26,0 days 00:14:16.556771786,4.946965487301932,96747
2022-01-27,0 days 00:16:01.621213639,3.586721929314596,99766
2022-01-28,0 days 00:16:48.249684478,6.280067485110511,95873
2022-01-29,0 days 00:13:51.938990345,20.212362742817263,34388
2022-01-30,0 days 00:14:09.969647194,7.307483889988628,71229
2022-01-31,0 days 00:15:39.683842194,8.795190852139081,85878
2022-02-01,0 days 00:16:23.044296944,5.581506377633887,92354
2022-02-02,0 days 00:17:17.283248358,9.296424019184238,92576
2022-02-03,0 days 00:16:51.021575715,3.5433221437998506,104562
2022-02-04,0 days 00:14:42.246444079,6.903985078280105,110309
2022-02-05,0 days 00:14:42.019952128,9.316495640280388,116980
2022-02-06,0 days 00:14:24.066631873,5.620717259845021,88141
2022-02-07,0 days 00:15:57.080085971,3.1214436179909306,88867
2022-02-08,0 days 00:15:22.273143869,5.351868536013466,102781
2022-02-09,0 days 00:15:23.264730556,4.52253824618952,106089
2022-02-10,0 days 00:15:57.049554980,3.6428266728130207,112804
2022-02-11,0 days 00:16:52.134469053,4.734509477546029,117752
2022-02-12,0 days 00:16:08.573702416,5.913229253701413,119684
2022-02-13,0 days 00:13:58.316043516,4.238863924662983,93022
2022-02-14,0 days 00:15:05.349631814,7.662387146966764,110542
2022-02-15,0 days 00:15:15.311296760,9.95043508956129,110483
2022-02-16,0 days 00:15:20.953313744,6.363171727064969,110268
2022-02-17,0 days 00:15:56.604717965,5.633755988050414,113142
2022-02-18,0 days 00:17:15.426196516,4.665631391098689,116275
2022-02-19,0 days 00:15:00.338258695,5.388272509486422,114374
2022-02-20,0 days 00:14:56.076092771,7.5759595514575535,95331
2022-02-21,0 days 00:14:58.170201120,4.838341892883346,85869
2022-02-22,0 days 00:15:51.035346910,4.380360668672025,101395
2022-02-23,0 days 00:15:47.150126999,3.9954166926607546,112205
2022-02-24,0 days 00:16:10.705313203,6.30878438568688,119890
2022-02-25,0 days 00:15:14.629512467,5.757651740704402,118228
2022-02-26,0 days 00:15:18.981301196,4.645468242101157,123056
2022-02-27,0 days 00:15:41.090438966,11.324853294997355,100167
2022-02-28,0 days 00:16:01.659972021,3.396440750922022,102221
2022-03-01,0 days 00:16:15.890194564,3.707465663861269,113947
2022-03-02,0 days 00:16:04.900719988,4.3248565445550335,119863
2022-03-03,0 days 00:16:12.056601438,4.711188336298244,129290
2022-03-04,0 days 00:16:42.384592039,7.344438971246255,128505
2022-03-05,0 days 00:15:25.560472883,3.084132161371793,120368
2022-03-06,0 days 00:14:58.454852743,8.218007782750671,95853
2022-03-07,0 days 00:15:29.825016299,8.494030493003661,99695
